sampling_week,normalized_concentration_rolling_average,population,region,state,fraction_covered,name,fipscode,date
2020-04-22,628.0687002386835,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-04-22
2020-05-20,502.5150960710948,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-05-20
2020-05-27,160.8483037088121,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-05-27
2020-06-03,210.49204472811545,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-06-03
2020-06-10,201.224419335794,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-06-10
2020-06-17,189.58122485207352,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-06-17
2020-06-24,118.32016370625269,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-06-24
2020-07-01,99.59101100565812,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-07-01
2020-07-15,152.16365500790633,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-07-15
2020-07-22,182.63173487657585,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-07-22
2020-08-05,153.8942668453603,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-08-05
2020-08-12,113.09340785200877,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-08-12
2020-08-19,83.53865949218546,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-08-19
2020-08-26,85.3493800514305,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-08-26
2020-09-02,82.40468429652783,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-09-02
2020-09-09,80.38324596366937,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-09-09
2020-09-16,79.50999876086996,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-09-16
2020-09-23,80.66328817755601,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-09-23
2020-09-30,87.02971339822652,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-09-30
2020-10-07,131.49553689217336,"1,000,000-2,000,000",Midwest,MN,1.5404753986078843,Hennepin,27053,2020-10-07
